,id,sentence,subject_entity,object_entity,label,source
6584,6584,1989년 폴란드의 사회주의 정권이 붕괴되면서 폴란드 인민공화국 공군은 다시 폴란드 공군이 되었다.,"{'word': 폴란드 인민공화국, 'start_idx': 26, 'end_idx': 34}","{'word': 1989년, 'start_idx': 0, 'end_idx': 4}",org:dissolved,wikipedia
6882,6882,2014년 12월 19일에 대한 통합진보당 정당해산심판 때문에 나머지 4명의 국회의원과 나머지 4명의 국회의원은 실각했다.,"{'word': 통합진보당, 'start_idx': 18, 'end_idx': 22}","{'word': 2014년 12월 19일, 'start_idx': 0, 'end_idx': 12}",org:dissolved,wikipedia
8021,8021,튜더 왕가 또는 튜더 왕조는 영국 왕국과 아일랜드 왕국을 통치한 다섯 명의 군주를 배출한 가문을 말한다.1603년,"{'word': 튜더 왕조, 'start_idx': 9, 'end_idx': 13}","{'word': 1603년, 'start_idx': 58, 'end_idx': 62}",org:dissolved,wikipedia
8905,8905,"1922년 12월 코민테른의 지도 아래 상하이 고려공산당와 함께 해체되었고, 이후 통일공산당을 조직하기 위해 코르부로(1923.2)를 설립했다.","{'word': 고려공산당, 'start_idx': 26, 'end_idx': 30}","{'word': 1922년 12월, 'start_idx': 0, 'end_idx': 8}",org:dissolved,wikipedia
10713,10713,민주노동당는 1955년부터 1978년까지 존재했던 호주의 보수 정당이다.,"{'word': 민주노동당, 'start_idx': 0, 'end_idx': 4}","{'word': 1978년, 'start_idx': 15, 'end_idx': 19}",org:dissolved,wikipedia
10949,10949,동아방송는 1980년 11월 30일로의 미디어 통합으로 한국방송공사에 강제 매각되었고 KBS 라디오 서울로 바뀌었다.,"{'word': 동아방송, 'start_idx': 0, 'end_idx': 3}","{'word': 1980년 11월 30일, 'start_idx': 6, 'end_idx': 18}",org:dissolved,wikipedia
11134,11134,14일 이한열기념사업회에 따르면 대만 정치대 언론인 출신인 주리시(朱利時)는 순교자가 숨진 1987년 7월 5일에서 5일 장례식이 열린 9일까지 시위 사진 등 300여장을 기념사업회에 보냈다.,"{'word': 이한열, 'start_idx': 4, 'end_idx': 6}","{'word': 1987년 7월 5일, 'start_idx': 51, 'end_idx': 61}",org:dissolved,wikitree
11545,11545,데카르트 왕조는 일 칸국의 첫 번째 부하였지만 일 칸국가 해체되자 1335년는 독립하여 1381년 티무르가 침략할 때까지 존속했다.,"{'word': 일 칸국, 'start_idx': 9, 'end_idx': 12}","{'word': 1335년, 'start_idx': 37, 'end_idx': 41}",org:dissolved,wikipedia
12251,12251,"중세 초기의 시작은 서 로마 제국의 몰락과 함께 시작되고, 1001년 이후에는 중세가 시작된다.476년","{'word': 로마 제국, 'start_idx': 13, 'end_idx': 17}","{'word': 476년, 'start_idx': 53, 'end_idx': 56}",org:dissolved,wikipedia
12535,12535,"이키시는 2004년 3월 1일가 고노우라 정, 가쓰모토정, 아시베 정, 이시다 정과 합병한 후 출범했다.","{'word': 가쓰모토정, 'start_idx': 26, 'end_idx': 30}","{'word': 2004년 3월 1일, 'start_idx': 5, 'end_idx': 15}",org:dissolved,wikipedia
13581,13581,2010년 10월하이트 스파키즈는 CJ엔투스와 합병하면서 하이트엔투스(현 CJ엔투스)의 계열사가 됐다.,"{'word': 하이트 스파키즈, 'start_idx': 9, 'end_idx': 16}","{'word': 2010년 10월, 'start_idx': 0, 'end_idx': 8}",org:dissolved,wikipedia
13835,13835,"7월 16일, 1999년 쌍방울 레이더스 소유주 이의철은 박용오 KBO 총재와의 비밀 회동에서 처음으로 매각 의사를 밝힐 것이다.","{'word': 쌍방울 레이더스, 'start_idx': 14, 'end_idx': 21}","{'word': 1999년, 'start_idx': 8, 'end_idx': 12}",org:dissolved,wikipedia
14157,14157,"1795년네덜란드 공화국가 프랑스에 의해 점령되면서, 그것은 붕괴되었고 바타비아 위성 공화국이 세워졌다.","{'word': 네덜란드 공화국, 'start_idx': 5, 'end_idx': 12}","{'word': 1795년, 'start_idx': 0, 'end_idx': 4}",org:dissolved,wikipedia
14243,14243,위메이드 폭스가 2011년 8월 22일 공식 해체한 뒤 2011년 11월 프로게임단 8기 팀에 합류했다.,"{'word': 위메이드 폭스, 'start_idx': 0, 'end_idx': 6}","{'word': 2011년 8월, 'start_idx': 9, 'end_idx': 16}",org:dissolved,wikipedia
14368,14368,핀란드 능동저항당는 1904년부터 1908년 사이에 존재했던 핀란드 공화국의 정당이다.,"{'word': 핀란드 능동저항당, 'start_idx': 0, 'end_idx': 8}","{'word': 1908년, 'start_idx': 19, 'end_idx': 23}",org:dissolved,wikipedia
14370,14370,공식적으로 민주노동당인 1978년는 해체되었고 일부 지지자들은 새로운 민주노동당를 설립했다.,"{'word': 민주노동당, 'start_idx': 6, 'end_idx': 10}","{'word': 1978년, 'start_idx': 13, 'end_idx': 17}",org:dissolved,wikipedia
15661,15661,"결국, 2019년 5월 24일프리스틴는 해체되었고 멤버들은 뿔뿔이 흩어졌다.","{'word': 프리스틴, 'start_idx': 16, 'end_idx': 19}","{'word': 2019년 5월 24일, 'start_idx': 4, 'end_idx': 15}",org:dissolved,wikipedia
16660,16660,프로 야구팀 쌍방울 레이더스가 해체되자 2000년가 새로 창단한 SK 와이번스는 구단에서 선수들을 영입해 그 해 한국 프로야구에 공식적으로 참여했다.,"{'word': 쌍방울 레이더스, 'start_idx': 7, 'end_idx': 14}","{'word': 2000년, 'start_idx': 22, 'end_idx': 26}",org:dissolved,wikipedia
16951,16951,1991년 7월 1일와 바르샤바 조약 조직의 구성원들은 프라하에서의 회담 후에 공식적으로 해체되었다.,"{'word': 바르샤바 조약, 'start_idx': 13, 'end_idx': 19}","{'word': 1991년 7월 1일, 'start_idx': 0, 'end_idx': 10}",org:dissolved,wikipedia
17371,17371,2011년 8월 22일위메이드 폭스 해체로 해체 게임단 공개 게시물에는 이름을 올리지 못했지만 2차 협상 때문에 2011년 11월 삼성전자 칸에 영입됐다.,"{'word': 위메이드 폭스, 'start_idx': 12, 'end_idx': 18}","{'word': 2011년 8월 22일, 'start_idx': 0, 'end_idx': 11}",org:dissolved,wikipedia
17704,17704,"2010년 10월이스트로 팀이 해체되자, 그는 감독직에서 물러났다.","{'word': 이스트로, 'start_idx': 9, 'end_idx': 12}","{'word': 2010년 10월, 'start_idx': 0, 'end_idx': 8}",org:dissolved,wikipedia
18345,18345,2011년 8월 22일 위메이드 폭스가 해체됐고 11월 해체게임단 공고를 통해 KT 롤스터로 영입됐다.,"{'word': 위메이드 폭스, 'start_idx': 13, 'end_idx': 19}","{'word': 2011년 8월, 'start_idx': 0, 'end_idx': 7}",org:dissolved,wikipedia
19577,19577,"태평양전쟁 패배 이후 금치종 총지휘관이었던 육군성(육군성)과 조선인민군(해군성)이 모두 폐지되고 제1, 2수호부대의 활동이 이어졌다.1945년","{'word': 해군성, 'start_idx': 40, 'end_idx': 42}","{'word': 1945년, 'start_idx': 74, 'end_idx': 78}",org:dissolved,wikipedia
19875,19875,"녹색당는 1990년의 세 정당으로 순조롭게 나뉘었고, 루카스는 영국 웨일스의 녹색당에 가입하여 총선 의장(1991-92)과 당의 지방 의회 의원을 지냈다.","{'word': 녹색당, 'start_idx': 0, 'end_idx': 2}","{'word': 1990년, 'start_idx': 5, 'end_idx': 9}",org:dissolved,wikipedia
21177,21177,유럽에서는 로물루스 아우구스툴루스(줄리어스 네포스)의 480년을 서로마 제국 붕괴의 해로 보고 있지만 로마제국은 정치적으로 이를 로마제국을 통일한 것으로 해석해 타당성을 입증했다.476년,"{'word': 서로마 제국, 'start_idx': 36, 'end_idx': 41}","{'word': 476년, 'start_idx': 100, 'end_idx': 103}",org:dissolved,wikipedia
22179,22179,"1995년 데이톤 협정의 체결로 보스니아 전쟁은 종식되었고, 보스니아 헤르체고비나는 보스니아인과 크로아티아인을 중심으로 한 보스니아 헤르체고비나 연방과 세르비아를 중심으로 한 스르프스카 공화국의 연합이 되었다.","{'word': 보스니아 헤르체고비나, 'start_idx': 34, 'end_idx': 44}","{'word': 1995년, 'start_idx': 0, 'end_idx': 4}",org:dissolved,wikipedia
22461,22461,국가보안위원회는 1954년 3월 13일부터 1991년 11월 6일까지 살아남은 소련의 정보기관이다.,"{'word': 국가보안위원회, 'start_idx': 0, 'end_idx': 6}","{'word': 1991년 11월 6일, 'start_idx': 24, 'end_idx': 35}",org:dissolved,wikipedia
22811,22811,성화대학2012년 2월 29일,"{'word': 성화대학, 'start_idx': 0, 'end_idx': 3}","{'word': 2012년 2월 29일, 'start_idx': 4, 'end_idx': 15}",org:dissolved,wikipedia
23699,23699,"2007년가 끝나고 현대 유니콘스가 해체되고 우리 히어로즈로 팀을 옮겼을 때, 우리는 함께 히어로즈의 선수가 되었습니다.","{'word': 현대 유니콘스, 'start_idx': 11, 'end_idx': 17}","{'word': 2007년, 'start_idx': 0, 'end_idx': 4}",org:dissolved,wikipedia
23720,23720,그 후 2008년 2월 17일민주당와 적절히 결합되어 사라졌다.,"{'word': 민주당, 'start_idx': 16, 'end_idx': 18}","{'word': 2008년 2월 17일, 'start_idx': 4, 'end_idx': 15}",org:dissolved,wikipedia
23836,23836,"2010년 10월이스트로가 해체되면서, 그는 이스트로 팀의 공개 드래프트를 통해 KT 롤스터에 영입되었다.","{'word': 이스트로, 'start_idx': 9, 'end_idx': 12}","{'word': 2010년 10월, 'start_idx': 0, 'end_idx': 8}",org:dissolved,wikipedia
24127,24127,"2010년 10월이스트로의 해체로, 그는 이스트로 팀의 공개 드래프트를 통해 STX SouL에 영입되었다.","{'word': 이스트로, 'start_idx': 9, 'end_idx': 12}","{'word': 2010년 10월, 'start_idx': 0, 'end_idx': 8}",org:dissolved,wikipedia
24344,24344,"발해 멸망 당시, 일부 말갈인들은 그것을 여진이라고 불렀고, 1115년(예종 10)에 금나라가 1234년(고종 21)에 원나라에 의해 멸망했고, 이 지역은 명나라에 의해 반복적으로 파괴되었다.1368년","{'word': 원나라, 'start_idx': 67, 'end_idx': 69}","{'word': 1368년, 'start_idx': 107, 'end_idx': 111}",org:dissolved,wikipedia
24451,24451,예멘 통일은 예멘 아랍 공화국와 예멘 인민민주공화국이 KV에서 통일국가 예멘을 세운 사건이다.1990년 5월 22일,"{'word': 예멘 아랍 공화국, 'start_idx': 7, 'end_idx': 15}","{'word': 1990년 5월 22일, 'start_idx': 52, 'end_idx': 63}",org:dissolved,wikipedia
25898,25898,"한국은 2001년 6월 코코 엔터프라이즈와 공동으로 코코캡콤을 설립해 유통관리 및 한국시장 진출을 추진했으나 이후 실적 부진으로 2005년 계약이 해지·철회됐고 한국시장, 번역, 유통관리도 다시 한 번 이뤄졌다.","{'word': 코코 엔터프라이즈, 'start_idx': 13, 'end_idx': 21}","{'word': 2005년, 'start_idx': 72, 'end_idx': 76}",org:dissolved,wikipedia
25960,25960,"그러나 텍스코코 호수를 책임지고 있던 텍스코코가 코르테스에게 항복하면서 호수의 소유권도 코르테스였고, 텍스코코인들은 아즈텍에 대한 반감으로 코르테스를 지지했고, 결국 1521년 8월 13일아즈텍가 항복하고 테노치티틀란이 점령되었다.","{'word': 아즈텍, 'start_idx': 65, 'end_idx': 67}","{'word': 1521년 8월 13일, 'start_idx': 93, 'end_idx': 104}",org:dissolved,wikipedia
26534,26534,통합진보당그러나 2014년 12월 19일 헌법재판소의 결정(위헌당 해산 및 국회의원 자격 박탈)으로 의원직을 상실했다.,"{'word': 통합진보당, 'start_idx': 0, 'end_idx': 4}","{'word': 2014년 12월 19일, 'start_idx': 9, 'end_idx': 21}",org:dissolved,wikipedia
26611,26611,"1918년 말기에, 1차 세계대전에서 독일 제국이 패배했을 때, 젊은 핀란드인당의 두 파벌은 결국 분열되었다.","{'word': 핀란드인당, 'start_idx': 39, 'end_idx': 43}","{'word': 1918년, 'start_idx': 0, 'end_idx': 4}",org:dissolved,wikipedia
26885,26885,"이후 에스파냐로 이름을 바꾼 연합왕국은 1478년 카나리아 제도를 정복했고, 1492년 1월 2일 무슬림의 마지막 보루인 그라나다 토후국를 정복해 레콩스타를 멸망시켰다.","{'word': 그라나다 토후국, 'start_idx': 68, 'end_idx': 75}","{'word': 1492년, 'start_idx': 43, 'end_idx': 47}",org:dissolved,wikipedia
27688,27688,1946년 소비에트 내무인민위원회는 소련 내무부로 이름을 바꿨고 인민위원회는 국가안전부(MGB)로 이름을 바꿨다.,"{'word': 내무인민위원회, 'start_idx': 11, 'end_idx': 17}","{'word': 1946년, 'start_idx': 0, 'end_idx': 4}",org:dissolved,wikipedia
29142,29142,2011년 8월는 위메이드 폭스 해체로 22일 CJ엔투스에 영입됐다.,"{'word': 위메이드 폭스, 'start_idx': 10, 'end_idx': 16}","{'word': 2011년 8월, 'start_idx': 0, 'end_idx': 7}",org:dissolved,wikipedia
29675,29675,"2015년 4월 28일, 그리스 국회는 ERT 방송 재개에 관한 법을 통과시켰고, NERIT는 오전 6시에 폐쇄되었고, ERT 방송은 2년 만에 재개되었다.2015년 6월 11일","{'word': NERIT, 'start_idx': 46, 'end_idx': 50}","{'word': 2015년 6월 11일, 'start_idx': 87, 'end_idx': 98}",org:dissolved,wikipedia
30047,30047,일본 제국 육군1945년,"{'word': 일본 제국 육군, 'start_idx': 0, 'end_idx': 7}","{'word': 1945년, 'start_idx': 8, 'end_idx': 12}",org:dissolved,wikipedia
31085,31085,현대 유니콘스의 마지막 해인 2007년는 마지막으로 12승을 거두었다.,"{'word': 현대 유니콘스, 'start_idx': 0, 'end_idx': 6}","{'word': 2007년, 'start_idx': 16, 'end_idx': 20}",org:dissolved,wikipedia
31699,31699,그러나 구민주계가 지방선거에서 저조한 성적을 거뒀다는 비판을 받자 2007년 6월 27일중도개혁통합신당에 가입해 중도통합민주당을 창당했다.,"{'word': 중도개혁통합신당, 'start_idx': 49, 'end_idx': 56}","{'word': 2007년 6월 27일, 'start_idx': 37, 'end_idx': 48}",org:dissolved,wikipedia
32289,32289,"1999년 외환위기와 함께 신동아그룹는 파산했고, 그는 2000억원대 외화 밀반입 및 횡령 혐의로 검찰 조사를 받을 예정이다.","{'word': 신동아그룹, 'start_idx': 15, 'end_idx': 19}","{'word': 1999년, 'start_idx': 0, 'end_idx': 4}",org:dissolved,wikipedia
102,102,"1959년 한국전쟁으로 폐교된 대성여자중학교를 부활시켰고, 1960년에는 대성여자고등학교를 세웠다.","{'word': 대성여자중학교, 'start_idx': 17, 'end_idx': 23}","{'word': 1959년, 'start_idx': 0, 'end_idx': 4}",org:dissolved,wikipedia
266,266,2008년 3월 1일제주교육대학교가 제주대학교에 통폐합되어 제주대학교 교육대학으로 개편되어 제주대학교 사라캠퍼스로 운영되고 있다.,"{'word': 제주교육대학교, 'start_idx': 11, 'end_idx': 17}","{'word': 2008년 3월 1일, 'start_idx': 0, 'end_idx': 10}",org:dissolved,wikipedia
1171,1171,전영은 초나라를 돕지 않고 진나라를 멸망시키지도 않았으므로 기원전 206년에 진나라가 멸망하고 항우가 실시한 제후봉건에서 전시는 제나라 왕에서 쫓겨나 교동의 왕으로 봉해졌다.,"{'word': 진나라, 'start_idx': 15, 'end_idx': 17}","{'word': 기원전 206년, 'start_idx': 33, 'end_idx': 40}",org:dissolved,wikipedia
1471,1471,또 2012년 해체된 충남 일화 천마에서 강유미를 드래프트로 뽑아 전력을 강화했다.,"{'word': 충남 일화 천마, 'start_idx': 12, 'end_idx': 19}","{'word': 2012년, 'start_idx': 2, 'end_idx': 6}",org:dissolved,wikipedia
1593,1593,50여 년간의 사두정치 체계 끝에 330년 콘스탄티누스 1세 황제 때 현재의 이스탄불 위치에 있는 비잔티움을 콘스탄티노폴리스로 명명하고 천도해 395년에 로마제국는 테오도시우스 1세 황제가 죽은 뒤 동쪽 로마제국와 서쪽 로마제국로 나뉜다.,"{'word': 로마제국, 'start_idx': 86, 'end_idx': 89}","{'word': 395년, 'start_idx': 80, 'end_idx': 83}",org:dissolved,wikipedia
1752,1752,2010년 10월 12일 이스트로 해체가 공식 발표됐고 13일 전직 이스트로 선수단 공개 드래프트를 통해 위메이드 폭스로 영입됐다.,"{'word': 이스트로, 'start_idx': 14, 'end_idx': 17}","{'word': 2010년 10월, 'start_idx': 0, 'end_idx': 8}",org:dissolved,wikipedia
1867,1867,"지난 1월 서울시 명령으로 퇴출된 승원여객 소속 도시형버스 63번, 63-1번, 421번 노선을 계승해 운행을 시작했다.2000년","{'word': 승원여객, 'start_idx': 19, 'end_idx': 22}","{'word': 2000년, 'start_idx': 67, 'end_idx': 71}",org:dissolved,wikipedia
2122,2122,그래서 그는 군대를 모아 1526년까지 인근 지역을 정복하고 16세기 초 몰락한 로디 왕조를 멸망시키며 무굴제국을 세웠다.,"{'word': 로디 왕조, 'start_idx': 45, 'end_idx': 49}","{'word': 1526년, 'start_idx': 14, 'end_idx': 18}",org:dissolved,wikipedia
2293,2293,2007년 시즌을 끝으로 현대 유니콘스가 해체되면서 선수단을 계승해 창단한 팀에서 2년째를 맞았고 2008년과 2009년에는 별다른 활약이 없었다.,"{'word': 현대 유니콘스, 'start_idx': 14, 'end_idx': 20}","{'word': 2007년, 'start_idx': 0, 'end_idx': 4}",org:dissolved,wikipedia
2303,2303,말레이시아 싱가포르 항공는 1972년 10월 1일에 대해 운영이 중단됐고 싱가포르 항공가 그 뒤를 이었다.,"{'word': 싱가포르 항공, 'start_idx': 6, 'end_idx': 12}","{'word': 1972년 10월 1일, 'start_idx': 15, 'end_idx': 26}",org:dissolved,wikipedia
2445,2445,이날 카르파티아 우크라이나가 카르파티아 우크라이나 공화국 독립을 선언했으나 1939년 3월 16일에 헝가리가 카르파티아 우크라이나를 침공 합병하면서 소멸됐다.,"{'word': 카르파티아 우크라이나, 'start_idx': 3, 'end_idx': 13}","{'word': 1939년 3월 16일, 'start_idx': 42, 'end_idx': 53}",org:dissolved,wikipedia
2647,2647,결국 대법원은 1999년 효성의 로고를 축산업협동조합와 중복된 금융 분야에서 사용할 수 없다고 판결했지만 KV X 축산업협동조합가 농협과 통합되면서 문제가 된 로고의 사용이 중단되면서 이 분쟁은 자연스럽게 종결됐다.2000년,"{'word': 축산업협동조합, 'start_idx': 22, 'end_idx': 28}","{'word': 2000년, 'start_idx': 120, 'end_idx': 124}",org:dissolved,wikipedia
3099,3099,카자흐 칸국는 1456년부터 1847년까지 오늘날 카자흐스탄의 어느 곳에 있었던 카자흐스탄인의 국가이다.,"{'word': 카자흐 칸국, 'start_idx': 0, 'end_idx': 5}","{'word': 1847년, 'start_idx': 16, 'end_idx': 20}",org:dissolved,wikipedia
3604,3604,청년당는 2012년 3월 19일부터 2012년 4월 12일까지 존재한 대한민국의 진보정당이다.,"{'word': 청년당, 'start_idx': 0, 'end_idx': 2}","{'word': 2012년 4월 12일, 'start_idx': 20, 'end_idx': 31}",org:dissolved,wikipedia
4249,4249,1127년정강 변(금나라가송나라를 멸망시키고 휘종 흠종황제를 데려간 사건)이 발생해 진회와 여러 신하들이 포로로 함께 끌려가게 된다.,"{'word': 송나라, 'start_idx': 14, 'end_idx': 16}","{'word': 1127년, 'start_idx': 0, 'end_idx': 4}",org:dissolved,wikipedia
4487,4487,마침내 2007년 6월 27일중도개혁통합신당와 함께 중도통합민주당으로 신설 합당해 해산했다.,"{'word': 중도개혁통합신당, 'start_idx': 16, 'end_idx': 23}","{'word': 2007년 6월 27일, 'start_idx': 4, 'end_idx': 15}",org:dissolved,wikipedia
4525,4525,"마침내 기원전 206년에 항우가 진나라를 멸망시키고, 각지에 제후왕을 봉함으로써 원나라 육국의 세력을 약화시키기 위해 나라를 나누고, 자신을 따라온 무장들을 중용해 각각의 본국을 내렸고, 원나라 왕은 다른 나라로 옮겼다.","{'word': 진나라, 'start_idx': 18, 'end_idx': 20}","{'word': 기원전 206년, 'start_idx': 4, 'end_idx': 11}",org:dissolved,wikipedia
4762,4762,2007년를 끝으로 재정난을 견디지 못하고 이듬해 현대 유니콘스가 해체됐고 은퇴할 때까지 현대 유니콘스 선수단을 인수한 실질적인 후신팀 넥센 히어로즈에서 1루수로 활약했다.,"{'word': 현대 유니콘스, 'start_idx': 28, 'end_idx': 34}","{'word': 2007년, 'start_idx': 0, 'end_idx': 4}",org:dissolved,wikipedia
4861,4861,"1918년 3월29일 독일군의 지원으로 우크라이나 중앙의회가 점령하면서 우크라이나 인민소비에트 공화국, 오데사인민공화국과 함께 이 공화국이 해체됐다.","{'word': 우크라이나 인민소비에트 공화국, 'start_idx': 40, 'end_idx': 55}","{'word': 1918년 3월, 'start_idx': 0, 'end_idx': 7}",org:dissolved,wikipedia
4883,4883,이에 따라 키몬다가 문을 닫은 2011년까지 2년여에 걸쳐 전 세계에 있던 키몬다 공장이 문을 닫으면서 미국에서는 해고 노동자와 막대한 소송전도 벌어졌다.,"{'word': 키몬다, 'start_idx': 6, 'end_idx': 8}","{'word': 2011년, 'start_idx': 17, 'end_idx': 21}",org:dissolved,wikipedia
6584,6584,1989년 폴란드에서 사회주의 정권이 붕괴하면서 폴란드 인민공화국 공군은 다시 폴란드 공군이 됐다.,"{'word': 폴란드 인민공화국, 'start_idx': 27, 'end_idx': 35}","{'word': 1989년, 'start_idx': 0, 'end_idx': 4}",org:dissolved,wikipedia
