,id,sentence,subject_entity,object_entity,label,source
24378,24378,대칸 뭉케훌레구는 계속해서 팔레스타인을 정복하고 카이로로 향하려고 했지만 훌레구는 1259년 8월 11일 중국에서 사망했다는 소식을 들었을 때 알레포를 포위하고 있었다.,"{'word': 대칸 뭉케, 'start_idx': 0, 'end_idx': 4}","{'word': 중국, 'start_idx': 59, 'end_idx': 60}",per:place_of_death,wikipedia
24637,24637,터르노보 근교가 사냥하는 동안 칼리만 아센은 미하일 아센 1세을 살해하고 왕위를 찬탈했다.,"{'word': 미하일 아센 1세, 'start_idx': 25, 'end_idx': 33}","{'word': 터르노보 근교, 'start_idx': 0, 'end_idx': 6}",per:place_of_death,wikipedia
24642,24642,"1947년 7월 서울에서 여운형가 암살된 후, 그는 노동당을 이끌었고 1948년 4월 남북 협상에 참여했습니다.","{'word': 여운형, 'start_idx': 14, 'end_idx': 16}","{'word': 서울, 'start_idx': 9, 'end_idx': 10}",per:place_of_death,wikipedia
24941,24941,2009년 김정일의 네 번째 부인인 김옥이 김정일의 세 번째 부인 고용희이 타고 있던 자동차 브레이크를 조작해 고용희암살을 모의한 사실이 김옥의 측근의 증언을 통해 알려졌다. 고용희는 2004년 교통사고를 당했고 2004년 5월 26일 프랑스 병원에서 유방암으로 사망한 후 6월 초 북한에서 장례식을 치렀다.,"{'word': 고용희, 'start_idx': 37, 'end_idx': 39}","{'word': 프랑스, 'start_idx': 132, 'end_idx': 134}",per:place_of_death,wikipedia
26540,26540,"기원전 42년 10월 마케도니아의 필리피에서 두 번의 전투 후에, 로마군은 승리했고 브루투스 카시우스는 자살했다.","{'word': 브루투스, 'start_idx': 47, 'end_idx': 50}","{'word': 필리피, 'start_idx': 19, 'end_idx': 21}",per:place_of_death,wikipedia
26562,26562,1100년 예루살렘가 멸망한 후 왕이 되지 못한 보두앵의 동생 고드프루아 드 부용가 죽자 보두앵은 예루살렘@에 들어가 예루살렘의 왕인 보두앵 1세가 되어 예루살렘 왕국을 세웠다.,"{'word': 고드프루아 드 부용, 'start_idx': 35, 'end_idx': 44}","{'word': 예루살렘, 'start_idx': 6, 'end_idx': 9}",per:place_of_death,wikipedia
27079,27079,"그는 1612년 9월 12일 고스티닌 성에서 사망했고, 바실리 4세의 시신은 1635년 러시아의 차르 미하일 1세의 요청으로 모스크바로 돌아왔다.","{'word': 바실리 4세, 'start_idx': 31, 'end_idx': 36}","{'word': 고스티닌 성, 'start_idx': 16, 'end_idx': 21}",per:place_of_death,wikipedia
28332,28332,그는 마케도니아 내부 혁명기구의 일원으로 활동했고 1934년 유다 왕국의 알렉산다르 1세왕과 프랑스의 루이 바르투 외무장관을 암살했다.프랑스 마르세유,"{'word': 알렉산다르 1세, 'start_idx': 41, 'end_idx': 48}","{'word': 프랑스 마르세유, 'start_idx': 75, 'end_idx': 82}",per:place_of_death,wikipedia
29266,29266,"209년, 묵돌이가 선우가 된 것은 진시황가 죽은 직후였고, 그 결과, 진나라는 큰 혼란에 빠졌고 중국은 한국전쟁이라는 내전을 치르고 있었다.","{'word': 진시황, 'start_idx': 20, 'end_idx': 22}","{'word': 진나라, 'start_idx': 40, 'end_idx': 42}",per:place_of_death,wikipedia
30008,30008,만네르헤임는 1951년 1월 27일 핀란드 스위스 로잔 국립 병원에서 사망하였습니다.,"{'word': 만네르헤임, 'start_idx': 0, 'end_idx': 4}","{'word': 스위스 로잔, 'start_idx': 24, 'end_idx': 29}",per:place_of_death,wikipedia
30987,30987,1593년 6월 제2차 진주성 전투에서 진주성가 함락되자 의병장 김천일과 함께 촉석루에 올라 고종후가 있는 북쪽으로 4보행진하여 진주의 남강에 투신하여 죽었다.,"{'word': 고종후, 'start_idx': 52, 'end_idx': 54}","{'word': 진주성, 'start_idx': 13, 'end_idx': 15}",per:place_of_death,wikitree
1044,1044,2010년 3월 29일 최진영는 서울특별시 강남구논현동 자택에서 스스로 세상을 떠났다.,"{'word': 최진영, 'start_idx': 13, 'end_idx': 15}","{'word': 서울특별시 강남구, 'start_idx': 18, 'end_idx': 26}",per:place_of_death,wikipedia
1552,1552,"막시밀리아노 1세(Maximiliano I, 1832년 7월 6일 오스트리아 빈 ~ 1867년 6월 19일 멕시코 케레타로근처)은 오스트리아의 대공이자 멕시코 제국의 황제이다.","{'word': 막시밀리아노 1세, 'start_idx': 0, 'end_idx': 8}","{'word': 멕시코 케레타로, 'start_idx': 60, 'end_idx': 67}",per:place_of_death,wikipedia
2214,2214,"을미사변 때 훈련대 병력을 동원해 명성황후 살해에 참여했던 당시 조선훈련대 제2대대장 우범선은 이후 일본으로 망명했으나, 이후 고영근은 1898년 일본으로 건너가 공교롭게도 대한제국 조선인 망명자 윤효정을 만나 명성황후 암살사건에 대한 담화 등을 밀담했고, 결국 1903년 11월 24일 일본 히로시마현 구레에 소재한 자신의 객저이다.","{'word': 우범선, 'start_idx': 48, 'end_idx': 50}","{'word': 일본 히로시마현 구레, 'start_idx': 161, 'end_idx': 171}",per:place_of_death,wikipedia
2802,2802,"마리 드 메디시스왕비는 1630년 그녀의 아들이었던 루이 13세에 의해 추방당하고, 1642년 루벤스가 어린 시절을 보냈던 쾰른의 바로 그 집에서 죽었다.","{'word': 마리 드 메디시스, 'start_idx': 0, 'end_idx': 8}","{'word': 쾰른, 'start_idx': 69, 'end_idx': 70}",per:place_of_death,wikipedia
3510,3510,"1921년 6월 자유시 참사 발생 후 상하이파 고려공산당 간부들이 러시아로 이동해 이르쿠츠크 집단과 군권투쟁을 벌일 때 운송 책임자 중 한 명이었던 김립는 홀로 상하이 본부를 지키고 있었고, 1921년 말 임시정부가 보낸 김구의 부하인 오명직, 노종균 등 청년들이 김립를 찾아 1922년 2월 11일 상하이불조.","{'word': 김립, 'start_idx': 83, 'end_idx': 84}","{'word': 상하이, 'start_idx': 21, 'end_idx': 23}",per:place_of_death,wikipedia
4171,4171,"병에 걸린 트라야누스는 하드리아누스를 대신해 파르티아 원정군의 사령관으로 임명해 로마로 돌아가지만, 킬리키아 지방의 세리누스에서 사망하고 만다.","{'word': 트라야누스, 'start_idx': 6, 'end_idx': 10}","{'word': 세리누스, 'start_idx': 65, 'end_idx': 68}",per:place_of_death,wikipedia
4421,4421,"김창완과 그의 두 형제로 구성된 그룹 상울림의 멤버이자 삼형제 중 막내였던 김창익가 2008년 1월 캐나다 벤쿠버에서 눈을 치우는 작업 중 사고로 사망하게 되고, 같은 해 김창완은 상울림의 공식 활동 중단 소식과 함께 젊은 연주자 4명과 함께 팀을 이뤄 음악 활동을 시작한다는 소식을 전했다.","{'word': 김창익, 'start_idx': 42, 'end_idx': 44}","{'word': 캐나다 벤쿠버, 'start_idx': 56, 'end_idx': 62}",per:place_of_death,wikipedia
4949,4949,루이스 몰로니 알베로(1925년 5월 12일 카나리아군도 산타크루스 데 테넬리페2010년 2월 12일 카나리아군도 @)는 스페인의 전 축구 미드필더이자 감독이다.라스 팔마스,"{'word': 루이스 몰로니, 'start_idx': 0, 'end_idx': 6}","{'word': 라스 팔마스, 'start_idx': 90, 'end_idx': 95}",per:place_of_death,wikipedia
7229,7229,"고용희는 2004년 8월 13일 프랑스파리에서 치료 중 심장마비, 암으로 사망했다는 말이 있는데 그로부터 석 달 전인 5월경에 이미 사망했을 수도 있다.","{'word': 고용희, 'start_idx': 0, 'end_idx': 2}","{'word': 프랑스, 'start_idx': 18, 'end_idx': 20}",per:place_of_death,wikipedia
7440,7440,2010년 폴란드 공군 Tu-154 추락사고는 2010년 4월 10일 폴란드의 레흐 카친스키 대통령 등이 탑승한 폴란드 공군 소속 투폴레프 Tu-154M이 러시아 스몰렌스크 부근에서 추락해 탑승자 전원이 사망한 사건이다.,"{'word': 레흐 카친스키, 'start_idx': 44, 'end_idx': 50}","{'word': 러시아 스몰렌스크, 'start_idx': 87, 'end_idx': 95}",per:place_of_death,wikipedia
10522,10522,연회 도중 박정희는 김재규의 총에 가슴과 머리를 맞아 곧바로 국군 서울지구병원으로 이송됐으나 이송 도중 숨졌다.,"{'word': 박정희, 'start_idx': 6, 'end_idx': 8}","{'word': 서울, 'start_idx': 37, 'end_idx': 38}",per:place_of_death,wikipedia
11019,11019,"선의왕후어씨는 본관이 함종으로 영조 6년(1730) 6월 29일 경희궁 어조당(魚藻堂)에서 소생 없이 승하하였으므로 춘추 26세의 나이로 시호를 선의, 묘 이름을 의릉이라 하고, 10월에 천장산 경종릉 아래 장사지냈다.","{'word': 선의왕후, 'start_idx': 0, 'end_idx': 3}","{'word': 경희궁 어조당(魚藻堂), 'start_idx': 36, 'end_idx': 47}",per:place_of_death,wikipedia
11309,11309,"알폰소 10세 데카스티야(D-Castiya, 1221년 11월 23일 톨레도 ~ 1284년 4월 4일 세비야)는 부르고뉴 왕가에 속하는 인물로 카스티야 왕국과 레온 왕국의 왕이며, 일시적으로 독일의 왕(신성로마제국 황제)이었던 인물이다.","{'word': 알폰소 10세, 'start_idx': 0, 'end_idx': 6}","{'word': 세비야, 'start_idx': 57, 'end_idx': 59}",per:place_of_death,wikipedia
11428,11428,루돌프 1세는 1291년 7월 15일 슈파이어로 죽었다.,"{'word': 루돌프 1세, 'start_idx': 0, 'end_idx': 5}","{'word': 슈파이어, 'start_idx': 21, 'end_idx': 24}",per:place_of_death,wikipedia
11763,11763,피천득선생님은 2007년 5월 25일 서울에서 노환으로 돌아가셨다.,"{'word': 피천득, 'start_idx': 0, 'end_idx': 2}","{'word': 서울, 'start_idx': 21, 'end_idx': 22}",per:place_of_death,wikipedia
12114,12114,미셸 드브레는 1912년 1월 15일 파리 7구에서 태어나 1996년 8월 2일 몽루이쉬르루아르로 사망한 프랑스 정치인이다.,"{'word': 미셸 드브레, 'start_idx': 0, 'end_idx': 5}","{'word': 몽루이쉬르루아르, 'start_idx': 45, 'end_idx': 52}",per:place_of_death,wikipedia
14104,14104,로빈 윌리엄스2014년 8월 11일(현지 시간) 미국 샌프란시스코 마린 카운티 경찰국에 따르면 00씨는 이날 자신의 집에서 목을 매 숨진 채 발견됐다.캘리포니아,"{'word': 로빈 윌리엄스, 'start_idx': 0, 'end_idx': 6}","{'word': 캘리포니아, 'start_idx': 84, 'end_idx': 88}",per:place_of_death,wikipedia
15761,15761,메이레키메이랴쿠 3년(1657년) 10월 26일에 에도로 54세의 나이로 별세했다. 가독은 장남 요시마사가 이었다.,"{'word': 메이레키, 'start_idx': 0, 'end_idx': 3}","{'word': 에도, 'start_idx': 28, 'end_idx': 29}",per:place_of_death,wikipedia
15970,15970,이스마일 2세그러나 카즈빈의 미야기에서 아편중독으로 사망했다.,"{'word': 이스마일 2세, 'start_idx': 0, 'end_idx': 6}","{'word': 카즈빈, 'start_idx': 11, 'end_idx': 13}",per:place_of_death,wikipedia
15990,15990,"그가 취임한 그해 바티칸교황요한 바오로 1세이 33일 만에 급서했는데, 이에 타살 의혹이 제기되면서 다시 화제가 됐다.","{'word': 요한 바오로 1세, 'start_idx': 15, 'end_idx': 23}","{'word': 바티칸, 'start_idx': 10, 'end_idx': 12}",per:place_of_death,wikipedia
16082,16082,"서재필그러나 00는 휴전에 대비하지 못하고 625전쟁이 한창이던 1951년 1월 5일 @노리스타운몽고메리병원 병실에서 후두암과 방광암, 과로 합병증으로 생을 마감했다.펜실베이니아주 필라델피아","{'word': 서재필, 'start_idx': 0, 'end_idx': 2}","{'word': 펜실베이니아주 필라델피아, 'start_idx': 93, 'end_idx': 105}",per:place_of_death,wikipedia
17322,17322,"손원일(1909년 6월 22일(1909년 음력 5월 5일)대한제국 평안남도 강서 출생~1980년 2월 15일 대한민국서울에서 별세.)은 대한민국제5대 국방부 장관, 초대 서독 주재 대한민국대사 등을 지낸 대한민국독립운동가 및 예비역 대한민국 해군 중장 출신으로 군인, 정치인, 외교관, 관료이다.","{'word': 손원일, 'start_idx': 0, 'end_idx': 2}","{'word': 대한민국, 'start_idx': 61, 'end_idx': 64}",per:place_of_death,wikipedia
18873,18873,헤디 라마르는 2000년 1월 19일 플로리다주 카셀베리에서 심장병으로 85세를 일기로 사망했다.,"{'word': 헤디 라마르, 'start_idx': 0, 'end_idx': 5}","{'word': 플로리다, 'start_idx': 21, 'end_idx': 24}",per:place_of_death,wikipedia
19202,19202,"""아스타 시엠프레, 코만단테""(Hasta Siempre-Comandante)는 1965년 쿠바 작곡가 카를로스 푸에블라가 1965년 작곡한 스페인어 노래로 혁명가 체 게바라가 콩고와 이후 자신이 죽은 볼리비아로 투쟁 무대를 옮기기 위해 쿠바를 떠나 남긴 이별 편지에 대한 응답조 내용이다.","{'word': 체 게바라, 'start_idx': 91, 'end_idx': 95}","{'word': 볼리비아, 'start_idx': 112, 'end_idx': 115}",per:place_of_death,wikipedia
19895,19895,"에드워드 ""티드"" 손다이크(Edward Lee ""Ted"" Thorndike, 1874년 8월 31일 미국 매사추세츠주 윌리엄스버그 출생~1949년 8월 9일 미국 뉴욕주몬트로즈에서 사망)은 전체 경력의 대부분을 컬럼비아 대학교에서 가진 미국 심리학자이다.","{'word': 손다이크, 'start_idx': 10, 'end_idx': 13}","{'word': 미국 뉴욕주, 'start_idx': 88, 'end_idx': 93}",per:place_of_death,wikipedia
21137,21137,"박시창(대한제국 경기도 시흥시 출생~대한민국 서울로 별세.)는 대한민국의 독립운동가 겸 군인이며, 예비역 대한민국 육군 소장 출신이며, 사회운동가 겸 사회기관 단체장이었다.","{'word': 박시창, 'start_idx': 0, 'end_idx': 2}","{'word': 서울, 'start_idx': 25, 'end_idx': 26}",per:place_of_death,wikipedia
21538,21538,"1932년 1월 24일 워버그은 63세의 나이로 뉴욕의 저택에서 사망하였고, 뉴욕주 쓰리피 홀에 있는 쓰리피 홀 공동묘지에 묻혔다.","{'word': 워버그, 'start_idx': 13, 'end_idx': 15}","{'word': 뉴욕, 'start_idx': 27, 'end_idx': 28}",per:place_of_death,wikipedia
22391,22391,플로리야나 이스마일리는 2019년 6월 29일 이탈리아 롬바르디아주 코모호에서 보트를 타고 가던 중 뛰어내려 실종됐다.,"{'word': 플로리야나 이스마일리, 'start_idx': 0, 'end_idx': 10}","{'word': 이탈리아 롬바르디아주 코모호, 'start_idx': 26, 'end_idx': 40}",per:place_of_death,wikipedia
23497,23497,"리승엽(1905년 2월 8일 대한제국 경기도 부평 출생 ~ 1954년 7월 30일 @평양에서 사형집행.)은 일제 강점기 친일 공산주의 운동가이자, 조선민주주의인민공화국의 정치인이다.","{'word': 리승엽, 'start_idx': 0, 'end_idx': 2}","{'word': 조선민주주의인민공화국, 'start_idx': 82, 'end_idx': 92}",per:place_of_death,wikipedia
24378,24378,플래그는 계속 팔레스타인을 정복하여 카이로로 향하려 하였으나 1259년 8월 11일에 대칸 뭉케가 중국로 사망하였다는 소식을 들은 플래그는 당시 알레포를 포위하고 있었다.,"{'word': 대칸 뭉케, 'start_idx': 48, 'end_idx': 52}","{'word': 중국, 'start_idx': 55, 'end_idx': 56}",per:place_of_death,wikipedia
24637,24637,터르노보 근교의 사냥 도중 칼리만 아센은 미하일 아센 1세을 살해하고 왕위를 찬탈하였다.,"{'word': 미하일 아센 1세, 'start_idx': 23, 'end_idx': 31}","{'word': 터르노보 근교, 'start_idx': 0, 'end_idx': 6}",per:place_of_death,wikipedia
24642,24642,1947년 7월 여운형이 서울에서 암살된 뒤 그는 근로인민당을 이끌고 1948년 4월 남북협상에 참가했다.,"{'word': 여운형, 'start_idx': 9, 'end_idx': 11}","{'word': 서울, 'start_idx': 14, 'end_idx': 15}",per:place_of_death,wikipedia
24941,24941,2009년 김 위원장의 넷째 부인 김옥이 김 위원장의 셋째 부인인 고용희가 타고 있던 자동차의 브레이크를 조작해 고용희를 암살하려는 음모를 꾸몄는데 이 사실이 김옥의 측근 증언을 통해 밝혀졌다. 00 씨는 2004년 교통사고를 당해 2004년 5월 26일 프랑스시의 한 병원에서 유방암으로 세상을 떠난 뒤 6월 초 북한에서 장례식을 치렀다.,"{'word': 고용희, 'start_idx': 37, 'end_idx': 39}","{'word': 프랑스, 'start_idx': 143, 'end_idx': 145}",per:place_of_death,wikipedia
26540,26540,기원전 42년 10월 마케도니아 필리피에서 두 차례 전투를 치른 뒤 로마군은 승리했고 브루투스와 카시우스는 자살했다.,"{'word': 브루투스, 'start_idx': 48, 'end_idx': 51}","{'word': 필리피, 'start_idx': 18, 'end_idx': 20}",per:place_of_death,wikipedia
26562,26562,"1100년 예루살렘 함락 후 왕이 되지 않고 오직 지배자가 된 성묘 수호자였던 보두앵의 오빠 고드프루아 드 부용가 죽자, 보두앵이 예루살렘에 들어가 예루살렘의 왕 보두앵 1세가 되어 예루살렘왕국을 세웠다.","{'word': 고드프루아 드 부용, 'start_idx': 52, 'end_idx': 61}","{'word': 예루살렘, 'start_idx': 6, 'end_idx': 9}",per:place_of_death,wikipedia
27079,27079,"바실리 4세1612년 9월 12일 고스티닌 성에서 사망했고, 1635년 러시아 차르국의 차르였던 미하일 1세의 요청에 따라 그의 시신이 모스크바로 귀환했다.","{'word': 바실리 4세, 'start_idx': 0, 'end_idx': 5}","{'word': 고스티닌 성, 'start_idx': 19, 'end_idx': 24}",per:place_of_death,wikipedia
28332,28332,내부 마케도니아 혁명기구 회원으로 활동하다가 1934년에는 프랑스 마르세유에서 유고슬라비아 왕국의 알렉산다르 1세국왕과 프랑스의 루이 바르투 외무장관을 암살했다.,"{'word': 알렉산다르 1세, 'start_idx': 55, 'end_idx': 62}","{'word': 프랑스 마르세유, 'start_idx': 33, 'end_idx': 40}",per:place_of_death,wikipedia
29266,29266,"묵돌이가 선우가 된 209년에는 진시황이 사망한 직후였고, 이로 인해 진나라가 큰 혼란에 빠졌고, 중국은 초한전쟁이라는 내전을 벌이고 있었다.","{'word': 진시황, 'start_idx': 18, 'end_idx': 20}","{'word': 진나라, 'start_idx': 39, 'end_idx': 41}",per:place_of_death,wikipedia
